EIN,Org name,Acronym,Website URL,Street address,City,Zip code,County,Year formed,Most recent tax filings,"NTEE code, primary","NAICS code, primary",California FTB status revoked,Has full-time employees,Has endowment support,Federal funding types,Total assets,Total revenues,Number of grants received,"Total grants, contributions, etc.: Percent of revenues",Total liabilities,Total expenses,Total general management expenses: Percent of expenses,Total program-related expenses: Percent of expenses,"All salaries, compensation, and employee benefits: Percent of expenses",Number of grants made,Median grant amount
37-1744214,Coachella Valley Irrigated Lands Coalition,,https://cvilc.org/,PO Box 645,Indio,92202,"Riverside County, California",2013,12/1/2024,"C32: Water Resource, Wetlands Conservation and Management","2213: Water, Sewage, and Air Systems",No,No,No,,295952,361310,0,100,58858,317159,5.83587412,94.16412588,0,,
82-5219239,Cherish Ministry,,https://www.cherishyoungmoms.org/,PO Box 811,Fontana,92334,"San Bernardino County, California",2018,12/1/2024,X00: Religion: General,813319: Social Advocacy Organizations,No,Yes,No,,295969,296132,1,98.43988492,0,312151,0,100,38.19337436,,
33-0626004,Khmer Buddhist Society of San Bernardino,,,1595 Hardt St,San Bernardino,92408,"San Bernardino County, California",1994,12/1/2024,X50: Buddhist,813110: Religious Organizations,Yes,Yes,No,,298721,168340,0,52.85612451,0,111804,100,0,27.36932489,,
95-6072664,National Association of Seventh Day Adventist Dentists,,http://www.nasdad.org/,PO Box 101,Loma Linda,92354,"San Bernardino County, California",1956,12/1/2024,X03: Religion-Related Professional Societies and Associations,813920: Professional Associations,No,No,No,,299152,100189,0,103.3426823,0,106372,45.72725905,54.27274095,0.762418682,,
80-0513013,High Country Youth Center,,,PO Box 390748,Anza,92539,"Riverside County, California",2009,12/1/2024,"O20: Youth Centers, Boys and Girls Clubs",624110: Child and Youth Services,No,No,No,,301380,133,0,0,0,17078,3.733492745,80.67689425,0,,
77-0648417,Idyllwild Animal Rescue Friends Arf,,http://arfidyllwild.weebly.com/,Post Office Box 719,Idyllwild,92549,"Riverside County, California",2004,12/1/2024,D20: Animal Protection and Welfare,"813312: Environment, Conservation, and Wildlife Organizations",No,No,No,,303328,101004,1,59.53427587,0,65326,,50.83733888,22.21167682,,
26-1515468,Creative Media Ministries,,http://www.creativemediaministries.com/,PO Box 837,Murrieta,92564,"Riverside County, California",2007,12/1/2024,"X80: Religious Media, Communications Organizations",813110: Religious Organizations,No,Yes,No,,303692,272426,1,67.61102097,3431,211245,3.596771521,95.85646998,36.17363725,,
95-2963763,Boojum Institute for Experiential Education,,http://www.boojum.org/,29470 Us Hwy 243 350,Mountain Center,92561,"Riverside County, California",1975,12/1/2024,C60: Environmental Education,6116: Other Schools and Instruction,No,Yes,No,,303850,579717,0,2.125864862,319557,549636,48.61235436,51.38764564,50.06058555,,
27-2221415,Legends Inland Empire,,,PO Box 90211,San Bernardino,92408,"San Bernardino County, California",2010,12/1/2024,"N64: Soccer Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,304487,751023,0,75.97237368,0,780489,5.770356789,94.22964321,0,,
33-0681511,Shelter Providers of Riverside,,http://www.homeaidie.org/,3600 Lime St Bldg 2 115,Riverside,92501,"Riverside County, California",1995,12/1/2024,"L41: Homeless, Temporary Shelter",62422: Community Housing Services,No,No,No,,306515,171448,2,83.88899258,8400,179758,19.54294107,72.94529312,68.65674963,,
82-2335755,Redlands Police Community Foundation,,http://www.rpcf365.org/,PO Box 1025,Redlands,92373,"San Bernardino County, California",2017,12/1/2024,W11: Public and Societal Benefit Single Organization Support,813410: Civic and Social Organizations,No,No,No,,306901,214530,0,96.09984618,1,155246,3.270937738,94.85526197,0,,
33-0449486,Rim of the World Historical Society,,https://spaldingmfablog.com/,PO Box 1550,Lake Arrowhead,92352,"San Bernardino County, California",1994,12/1/2024,"A80: Historical Societies, Historical Preservation","7121: Museums, Historical Sites, and Similar Institutions",No,No,No,,308380,149665,0,84.81341663,333,41435,,78.94774949,0,,
33-0021468,Seven Hills Property Owners Association,,,PO Box 177,Hemet,92546,"Riverside County, California",2009,12/1/2024,"L50: Housing Owners, Renters Organizations",813990: Sports Regulatory Associations and Property Owner Associations,No,No,No,,309822,213352,0,0,24436,173158,7.978262627,92.02173737,0,,
47-4795070,Victor Valley Gospel Church,,,9191 Deep Creek Rd,Apple Valley,92308,"San Bernardino County, California",2021,12/1/2024,X20: Christian,813110: Religious Organizations,No,No,No,,313592,203458,0,100,0,134195,44.87872126,55.12127874,33.08618056,,
33-0933239,International Humanity Foundation,,https://www.ihfonline.org/,53686 Avenida Velasco,La Quinta,92253,"Riverside County, California",2002,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,Yes,No,No,,315223,50184,0,100,409403,48161,,,0,1,27472
59-3810784,Western Riverside County Agriculture Coalition,,,PO Box 1325,San Jacinto,92581,"Riverside County, California",2005,12/1/2024,C01: Environment Alliances and Advocacy,813910: Trade Associations,No,No,No,,316567,234086,0,0,0,220620,0,100,0,1,0
47-4170694,Shadow Ranch Foundation,,http://www.shadowranchfoundation.org/,PO Box 6848 PMB 373,Big Bear Lake,92315,"San Bernardino County, California",2017,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,317941,158400,0,100,0,97268,,,0,,
23-7594359,Ontario Lodge No 345 of the Independent Order of Odd Fellows,,,112 1/2 B St,Ontario,91762,"San Bernardino County, California",2021,12/1/2024,S50: Nonprofit Management,62331: Assisted Living and Continuing Care Retirement Communities,No,No,No,,319253,46231,0,0.519132184,0,49316,,92.90291183,0,,
33-0718114,John R Williams Memorial Scholarship Fund,,,140 E Stetson Box 336,Hemet,92543,"Riverside County, California",1997,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,319767,62068,0,0,77000,38896,,,0,25,1500
95-3355969,Kennel Club of Palm Springs,,https://www.kennelclubpalmsprings.org/,PO Box 6366,March Air Reserve Base,92518,"Riverside County, California",1978,12/1/2024,D60: Other Services-Specialty Animals,"7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,322426,646322,0,0,0,599129,0,100,0,,
85-3086233,Helping Hands Society of Los Angeles,,,13550 Greenwood St,Hesperia,92344,"San Bernardino County, California",2020,12/1/2024,P00: Human Services: General,624210: Community Food Services,No,No,No,,322961,828596,15,100,0,784993,63.57279619,36.42720381,6.086296311,,
47-5592766,The Wadher Family Foundation,,,4099 Shady Ridge Cir,Corona,92881,"Riverside County, California",2016,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,324451,6204,0,0,0,96324,,,0,10,5000
37-1906969,Pure Land Foundation,,http://www.pureland.foundation/,2279 Eagle Glen Pkwy Ste 112-211,Corona,92883,"Riverside County, California",2019,12/1/2024,X50: Buddhist,813110: Religious Organizations,No,No,No,,328057,168174,3,96.56665121,0,88499,,73.67201889,0,,
33-0677112,Temecula Tritons Swim Club,,http://tmecswim.com/,PO Box 891612,Temecula,92589,"Riverside County, California",1994,12/1/2024,"N67: Swimming, Water Recreation","713990: Amateur Sports, Youth Sports, and Recreational Services",No,Yes,No,,329965,798022,0,0.91350865,26811,801486,0,100,55.15342751,,
46-4690286,High Desert Second Chance,,,16666 Smoketree Bldg B 4,Hesperia,92345,"San Bernardino County, California",2014,12/1/2024,"K30: Food Service, Free Food Distribution Programs",624210: Community Food Services,No,Yes,No,Formula grant; Grant; Sub-grant,330246,698131,6,99.43491981,0,536435,26.28911238,73.71088762,12.1759393,,
93-2813917,Wildwood Womens Center,,https://www.wildwoodwomenscenter.com/,35145 Oak Glen Rd,Yucaipa,92399,"San Bernardino County, California",2023,12/1/2024,X20: Christian,621: Outpatient Health Care Practitioners and Facilities,No,No,No,,336469,429908,0,100,3748,97187,4.998610925,95.00138907,0,,
95-3803597,Cherry Festival Association,,http://beaumontcherryfestival.org/index.html,1310 Oak Valley Pkwy,Beaumont,92223,"Riverside County, California",1982,12/1/2024,"N52: Fair, County and Other","7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,337006,496641,0,97.99311777,0,722571,0,2.066232938,5.130983668,,
33-0879304,Joshua Tree Living Arts,,,PO Box 878,Joshua Tree,92252,"San Bernardino County, California",2000,12/1/2024,"A20: Arts, Cultural Organizations","7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,337269,309465,1,99.95734574,0,251539,0.842414099,99.1575859,0,1,177000
51-0214815,United STEELWORKERS - 08599 Local,,https://usw8599.com/,16981 Foothill Blvd Apt A-1,Fontana,92335,"San Bernardino County, California",1978,12/1/2024,"J40: Labor unions, organizations",813930: Labor Unions,No,Yes,No,,341918,438657,0,0,0,477904,,,28.19813184,1,5000
86-3488950,The HHMC Foundation,,,1219 E Elm,Ontario,91761,"San Bernardino County, California",2021,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,346115,439650,0,100,162,234149,,,76.87412716,5,5000
95-3744052,Crest Forest Senior Citizens Club,,https://www.crestlineseniorcitizens.org/,PO Box 317,Crestline,92325,"San Bernardino County, California",1975,12/1/2024,P81: Senior Centers and Services,624120: Services for the Elderly and People with Disabilities,No,Yes,No,,348866,278762,0,74.767723,51739,262579,34.1904722,63.04083723,26.57676356,,
26-3939579,Sogia Family Foundation,,,PO Box 2129,Redlands,92373,"San Bernardino County, California",2010,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,351328,12757,0,78.38833582,0,34146,,,0,12,1250
33-0450941,Coachella Casas III,,,45-701 Monroe St G,Indio,92201,"Riverside County, California",1991,12/1/2024,L21: Public Housing Facilities,62422: Community Housing Services,No,No,No,,354030,34020,0,0,94030,34020,0,100,0,,
93-1168833,Friends of Big Morongo Canyon Preserve,,https://bigmorongo.org/,PO Box 780,Morongo Valley,92256,"San Bernardino County, California",1996,12/1/2024,C34: Land Resources Conservation,"813312: Environment, Conservation, and Wildlife Organizations",No,Yes,No,Grant; Cooperative agreement,356635,183016,4,92.7028238,0,191232,67.17388268,52.95609521,53.55222975,,
33-0523799,Club Social Espanol de Fontana,,,8904 Locust Ave,Fontana,92335,"San Bernardino County, California",1994,12/1/2024,"A23: Cultural, Ethnic Awareness",813410: Civic and Social Organizations,No,No,No,,356849,55172,0,4.469658522,562,41844,,34.05506166,0,,
34-2047020,Universal Compassion Buddhist Association - Dai Bi Quan Am,,,2138 W Lincoln Ave,San Bernardino,92411,"San Bernardino County, California",2006,12/1/2024,X50: Buddhist,813110: Religious Organizations,No,No,No,,359004,96490,0,100,0,38306,,100,0,,
47-0942440,Mexican Baptist Church of Casa Blanca California,,,7255 Marguerita Ave,Riverside,92504,"Riverside County, California",1972,12/1/2024,X20: Christian,813110: Religious Organizations,No,No,No,,359447,31178,0,100,0,31212,,4.581571191,0,,
82-2062566,A Lot of Good,,http://alotofgood.org/,1980 W Foothill Blvd,Upland,91786,"San Bernardino County, California",2017,12/1/2024,P60: Emergency Assistance,624230: Emergency and Relief Services,No,Yes,No,,360167,497163,0,66.19639836,36625,465726,5.688752614,91.55211433,23.62870014,,
03-0442445,Bragdon R Garrow Foundation,,,73350 El Paseo Dr 201,Palm Desert,92260,"Riverside County, California",2002,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,364185,50326,0,0,0,72718,,,44.43329024,6,2000
31-1577043,One Another Ministries International,,https://oneanother.com/,13875 Buckskin Trail Dr,Corona,92883,"Riverside County, California",1997,12/1/2024,X20: Christian,813110: Religious Organizations,No,Yes,No,,365660,430254,2,99.36153993,4748,435853,6.081867052,87.32921421,50.68314317,,
23-7153396,Friends of the Edward-Dean Museum,,,PO Box 3095,Beaumont,92223,"Riverside County, California",1971,12/1/2024,A50: Museums,"7121: Museums, Historical Sites, and Similar Institutions",No,No,No,,366208,30471,0,5.103212891,0,8564,,72.31433909,0,,
47-3107255,Iglesia La Nueva Getsemani,,,1205 N Cucamonga Ave,Ontario,91764,"San Bernardino County, California",2015,12/1/2024,X20: Christian,813110: Religious Organizations,No,No,No,,368111,118057,0,100,0,47237,,17.42278299,0,,
81-2584741,Public Safety Peer Support Association,,http://pspsa.org/,PO Box 5956,Norco,92860,"Riverside County, California",2016,12/1/2024,F60: Counseling Support Groups,624190: Individual and Family Services,No,No,No,,370352,454082,0,100,0,386449,2.112827307,97.88717269,0,,
82-2775225,American Society of Evidence Based Policing,,https://www.americansebp.org/,31566 Railroad Canyon Rd - PMB 13,Canyon Lake,92587,"Riverside County, California",2017,12/1/2024,B03: Education Professional Societies and Associations,813920: Professional Associations,No,No,No,,373476,210744,2,92.06952511,107,181996,32.81225961,67.18774039,19.84439218,,
46-5720190,PRMG Cares,,,1265 Corona Pointe CT Ste 301,Corona,92879,"Riverside County, California",2015,12/1/2024,P20: Human Service Organizations,624230: Emergency and Relief Services,No,No,No,,375221,59580,0,100,8737,37916,,0,0,,
33-0636511,Miles Avenue Housing,,,45-701 Monroe St G,Indio,92201,"Riverside County, California",1996,12/1/2024,L21: Public Housing Facilities,62422: Community Housing Services,No,No,No,,379646,35687,0,0,301646,35687,,100,0,,
45-2499732,Indus Vet,,,13936 Laredo LN,Chino Hills,91709,"San Bernardino County, California",2012,12/1/2024,P20: Human Service Organizations,813920: Professional Associations,No,No,No,,380090,70451,0,100,0,51601,0,100,0,,
95-6149986,Nelson House Foundation,,,3685 15th St,Riverside,92501,"Riverside County, California",1966,12/1/2024,"F33: Group Home, Residential Treatment Facility-Mental Health Related",623220: Residential Mental Health and Substance Abuse Facilities,No,No,No,,381809,83929,0,0,0,65010,0,100,0,,
85-1661362,Jojo Siwa Childhood Cancer Foundation,,https://jojosiwafoundation.org/,29364 W Laguna Dr,Cathedral City,92234,"Riverside County, California",2020,12/1/2024,G30: Cancer,813212: Health and Disease Research Fundraising Organizations,No,No,No,,391719,435,0,86.20689655,0,4439,100,0,0,1,100000
36-4709054,NDR Therapeutic Riding,,https://ndrtherapeuticriding.org/,960 6th St 101a 109,Norco,92860,"Riverside County, California",2011,12/1/2024,E50: Rehabilitative Medical Services,624190: Individual and Family Services,No,Yes,No,,395126,411395,2,100,0,432663,0,100,53.14551972,,
81-4312310,Skys the Limit Observatory and Nature Center,,https://www.skysthelimit29.org/,PO Box 1,Twentynin PLM,92277,"San Bernardino County, California",2017,12/1/2024,A57: Science and Technology Museums,"7121: Museums, Historical Sites, and Similar Institutions",No,No,No,,396131,53631,1,33.88898212,0,25795,,158.2322155,0,,
75-3189734,Cultural Alliance of the Pass,,,PO Box 385,Banning,92220,"Riverside County, California",2005,12/1/2024,A26: Arts Council/Agency,"7121: Museums, Historical Sites, and Similar Institutions",No,Yes,No,Project grant; Grant,398311,48417,1,51.18037053,50000,102092,,100,0,,
33-0682388,Upland Police Foundation,,,1499 W 13th St,Upland,91786,"San Bernardino County, California",1990,12/1/2024,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",813410: Civic and Social Organizations,No,No,No,,406099,95253,0,34.35587331,0,76565,8.082021812,91.91797819,0,,
95-2276548,Center for Prayer Mobilization Idyllwild Institute Fiesta,,,PO Box 245,Idyllwild,92549,"Riverside County, California",1960,12/1/2024,X20: Christian,813110: Religious Organizations,No,No,No,,412647,7836,0,46.04389995,382,41788,100,0,57.43275582,,
33-0962371,Children's Plus Foster Family Agenct,,http://childrensplusffa.org/,696 N D St Ste 1,San Bernardino,92401,"San Bernardino County, California",2001,12/1/2024,P32: Foster Care,623990: Other Residential Care Facilities,No,Yes,No,,412750,809773,0,100,64959,910991,20.09416119,79.90583881,36.78181233,,
45-3708309,Africa Mercy Partners,,,301 9th St,Redlands,92374,"Riverside County, California",2012,12/1/2024,Q33: International Relief,813319: Social Advocacy Organizations,No,No,No,,416130,874752,2,99.99931409,0,878334,1.531763543,98.46823646,0,,
45-2587928,Nehemiah Charitable Fund,,,PO Box 7711,Redlands,92373,"San Bernardino County, California",2011,12/1/2024,P60: Emergency Assistance,813110: Religious Organizations,No,Yes,No,,419479,419513,2,99.81287827,304458,323900,9.228156839,90.77184316,59.80920037,2,7500
26-2981947,Children Giving Gifts,,,13875 Buckskin Trail Dr,Corona,92883,"San Bernardino County, California",2008,12/1/2024,X20: Christian,624110: Child and Youth Services,No,No,No,,421303,156400,1,100,458,152858,,96.58375747,47.10253961,,
33-0085509,Pursuit George Flight 30 Order of Daedalians,,,17050 Arnold Dr Box H101,Riverside,92518,"Riverside County, California",1985,12/1/2024,N31: Community Recreational Centers,813410: Civic and Social Organizations,No,No,No,,425791,63077,0,37.23702776,14487,51220,,0,0,,
45-2488503,Sahaba Initiative,,http://WWW.SAHABAINITIATIVE.ORG,1887 Business Dr Suite 3a,San Bernardino,92408,"San Bernardino County, California",2013,12/1/2024,X40: Islamic,624190: Individual and Family Services,No,Yes,No,,427311,1608906,15,97.39002776,100629,1470035,19.96217777,80.03782223,40.33203291,,
26-1840995,Mission Sports Inc To The Pointe Dance Productions,,https://www.tothepointedancestudio.com/,14058 Euclid Ave Bldg A,Chino,91710,"San Bernardino County, California",2008,12/1/2024,X20: Christian,711120: Dance Companies,No,Yes,No,,429460,629697,0,0.554234815,0,569977,31.46372573,68.53627427,49.76481507,,
77-0193922,StorkanHanesMcCaslin Research Foundation,,,1029 Railroad St,Corona,92882,"Riverside County, California",1989,12/1/2024,T20: Private Foundations,813211: Grantmaking Foundations,No,No,No,,430429,31662,0,99.48834565,0,44130,,,0,3,10000
46-3778707,Cadena Radial Remanente,,,47250 Washington St Ste A,La Quinta,92253,"Riverside County, California",2013,12/1/2024,X20: Christian,813110: Religious Organizations,No,No,No,,432682,249174,0,95.30207807,60974,985269,0,0,0,1,750000
33-0955048,Garces Residential Care Services,,https://garcesresidentialcareservices.org/,7349 Milliken Ave 223 Ste 140,Rancho Cucamonga,91730,"San Bernardino County, California",2001,12/1/2024,F32: Community Mental Health Center,623210: Residential Intellectual and Developmental Disability Facilities,No,Yes,No,,436640,1796262,0,0,53451,1834792,17.48514273,82.51485727,73.13711854,,
33-0819778,Carol's Kitchen,,https://www.carolskitcheninc.org/,244 Maple Ave,Beaumont,92223,"Riverside County, California",1998,12/1/2024,P85: Homeless Persons Centers and Services,624210: Community Food Services,No,Yes,No,,438032,1098779,4,99.07561029,0,1226317,6.316311362,91.81117117,11.38930635,,
95-2478574,Hesperia Leisure League,,https://hesperialeisureleague.webs.com/,9122 3rd Ave,Hesperia,92345,"San Bernardino County, California",1962,12/1/2024,N20: Recreational and Sporting Camps,813410: Civic and Social Organizations,No,Yes,No,,441006,254086,0,1.599852019,2063,298707,0.073650768,99.92634923,15.89216188,1,12679
95-1596515,Riverside County Medical Association,,http://www.rcmadocs.org/,PO Box 2425,Riverside,92516,"Riverside County, California",1893,12/1/2024,S41: Promotion of Business,813920: Professional Associations,No,Yes,No,,3694789,1200282,1,50.80481087,907861,985327,0,100,69.99655952,1,50000
26-0018141,Young Visionaries Leadership Academy,,https://yvyla-ie.org/site/,696 S Tippecanoe Ave,San Bernardino,92408,"San Bernardino County, California",2001,12/1/2024,"W00: Public Policy, Public Services Institutions: General",624110: Child and Youth Services,No,Yes,No,,1952987,2660211,1,100,1805656,2902373,13.80156858,86.19843142,52.71365879,,
95-3478342,Concerned Citizens for the Development of North Fontana,,,16655 Foothill Blvd Ste 200,Fontana,92335,"San Bernardino County, California",2016,12/1/2024,W01: Public and Societal Benefit Alliances and Advocacy,,No,No,No,,,,1,,,,,,,,
92-2008022,Palm Springs Symphony,,,37387 Turnberry Isle Dr,Palm Desert,92211,"Riverside County, California",2023,12/1/2024,A68: Music,,No,No,No,,,,1,,,,,,,,
92-1328161,Coops Hoops and Mentorship Program,,https://champnonprofit.org/,PO Box 12221,Palm Desert,92255,"Riverside County, California",2023,12/1/2024,"N60: Amateur Sports Clubs, Leagues","713990: Amateur Sports, Youth Sports, and Recreational Services",No,No,No,,,,1,,,,,,,,
92-1312592,Inland Empire Cricket Council,,https://iecricket.com/,6530 Veneto Pl,RCH Cucamonga,91701,"San Bernardino County, California",2023,12/1/2024,"N40: Sports Training Facilities, Agencies",,No,No,No,,,,1,,,,,,,,
92-1002162,Coachella Valley LGBT Hockey Association,,https://www.cvpridehockey.org/,77779 Saint Augustine Dr,Palm Desert,92211,"Riverside County, California",2023,12/1/2024,N01: Recreation and Sports Alliances and Advocacy,,No,No,No,,,,1,,,,,,,,
88-4282666,Palm Springs Sister City Committee,,https://www.sistercitiesps.org/,3752 E Bogert TRL,Palm Springs,92264,"Riverside County, California",2022,12/1/2024,"Q20: International Exchanges, Cultural Understanding",,No,No,No,,,,1,,,,,,,,
88-3898654,Bennett Foundation FLB,,https://bennettfoundationflb.com/,4200 Chino Hills Pkwy 135-348,Chino Hills,91709,"San Bernardino County, California",2022,12/1/2024,B80: Student Services and Organizations of Students,813211: Grantmaking Foundations,No,No,No,,,,1,,,,,,,,
88-2693762,Microfire Steamrocket,,https://steamrocket.co/,61190 Deronda Ave,Whitewater,92282,"Riverside County, California",2022,12/1/2024,B00: Education: General,,No,No,No,,,,1,,,,,,,,
88-0900274,MALHY Community Outreach Protective Services,,https://malhy.org/,27475 Ynez Rd Ste 254,Temecula,92591,"Riverside County, California",2022,12/1/2024,"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",,No,No,No,,,,1,,,,,,,,
87-2001977,Hazels Hands,,,12521 Current Dr,Eastvale,91752,"Riverside County, California",2021,12/1/2024,P30: Childrens and Youth Services,,No,No,No,,,,3,,,,,,,,
87-1886116,House of Pain So Cal Boxing and Fitness Club - A Youth Mentoring P,,,28837 Pujol St Apt 621,Temecula,92590,"Riverside County, California",2022,12/1/2024,"O50: Youth Development Programs, Other",,No,No,No,,,,1,,,,,,,,
86-2060312,Danza Azteca Citlaltonac,,https://www.circulocitlaltonac.com/,82117 Crest Ave,Indio,92201,"Riverside County, California",2021,12/1/2024,"A20: Arts, Cultural Organizations",,No,No,No,,,,1,,,,,,,,
85-4045670,Lighted Garden Ministry,,https://lightedgarden.org/,700 E Redlands Blvd Ste 246,Redlands,92373,"San Bernardino County, California",2021,12/1/2024,"C42: Garden Club, Horticultural Program",,No,No,No,,,,1,,,,,,,,
85-3012487,Treasure Box Angels,,https://treasureboxangels.org/,33252 Corte Yaca,Temecula,92592,"Riverside County, California",2024,12/1/2024,F12: Mental Health and Crisis Intervention Fund Raising and Fund Distribution,,No,No,No,,,,2,,,,,,,,
85-1567018,Little Seeds Matter,,https://littleseedsmatter.com/,1450 University Ave PMB 508 Ste F,Riverside,92507,"Riverside County, California",2021,12/1/2024,Z99: ,,No,No,No,,,,1,,,,,,,,
84-3474165,Refocus-On-U,,https://www.refocusonu.com/,PO Box 6396,Corona,92878,"Riverside County, California",2020,12/1/2024,E01: Health Care Alliances and Advocacy,,No,No,No,,,,1,,,,,,,,
84-3425677,Coachellart,,https://coachellart.org/,1257 E Granvia Valmonte,Palm Springs,92262,"Riverside County, California",2019,12/1/2024,"A25: Arts Education, Schools of Art",,No,No,No,,,,0,,,,,,,,
84-2430446,Black Collective,,,4163 Cedar St,Riverside,92501,"Riverside County, California",2020,12/1/2024,P20: Human Service Organizations,,No,No,No,,,,1,,,,,,,,
83-4122762,Can Man,,https://www.thecanman.org/,29265 Jasmine Pl,Highland,92346,"San Bernardino County, California",2019,12/1/2024,Z99: ,,No,No,No,,,,1,,,,,,,,
83-3080777,Teagan Ansley Foundation,,https://teaganansley.wordpress.com/,1430 Sandy Hill Dr,Calimesa,92320,"Riverside County, California",2020,12/1/2024,T30: Public Foundations,813211: Grantmaking Foundations,No,No,No,,,,1,,,,,,,,
83-2723041,Game Changers Beyond The Classroom,,https://gcbcpresents.com/,14118 El Mesa Dr,Riverside,92503,"Riverside County, California",2019,12/1/2024,"O50: Youth Development Programs, Other",,No,No,No,,,,1,,,,,,,,
83-2062375,Allies Allys,,,14071 Peyton Dr Unit 3088,Chino Hills,91709,"San Bernardino County, California",2018,12/1/2024,P40: Family Services,,No,No,No,,,,1,,,,,,,,
83-2035641,Feed My Flock Ministries,,https://www.feedmyflockministries.org/,4219 Pondhill CT,Riverside,92505,"Riverside County, California",2019,12/1/2024,X20: Christian,,No,No,No,,,,1,,,,,,,,
82-3900893,Ronnies House for Hope,,https://www.ronnieshouseforhope.org/,41590 Balaclava Dr,Bermuda Dunes,92203,"Riverside County, California",2018,12/1/2024,F60: Counseling Support Groups,,No,No,No,,,,3,,,,,,,,
82-3530756,Harmony Place,,,2888 N Mountain View Ave,SN Bernrdno,92405,"San Bernardino County, California",2018,12/1/2024,P20: Human Service Organizations,,No,No,No,,,,1,,,,,,,,
82-2991142,CV Beautifying Solutions The Butterfly Mission,,,41550 Eclectic St,Palm Desert,92260,"Riverside County, California",2017,12/1/2024,J20: Employment Procurement Assistance and Job Training,,Yes,No,No,,,,1,,,,,,,,
82-1561015,Academy of Musical Performance,,,82719 Miles Ave,Indio,92201,"Riverside County, California",2017,12/1/2024,A68: Music,711130: Musical Groups and Artists,No,Yes,No,,14920,125726,3,0,0,171090,16.55210708,83.44789292,72.17663218,,
82-0823845,Count on Us Foundation,,,9692 Haven Ave Ste 100,RCH Cucamonga,91730,"San Bernardino County, California",2017,12/1/2024,P60: Emergency Assistance,,No,No,No,,,,0,,,,,,,,
71-0954077,La Quinta High School Black Hawk Brigade Boosters,,http://www.blackhawkbrigade.org/,PO Box 5746,La Quinta,92248,"Riverside County, California",1994,12/1/2024,B94: Parent-Teacher Associations PTAs,813410: Civic and Social Organizations,Yes,No,No,,,,2,,,,,,,,
55-0854808,Cry-Rop Educational Foundation,,https://cryrop.org/,1214 Indiana CT,Redlands,92374,"San Bernardino County, California",2011,12/1/2024,"B82: Scholarships, Student Financial Aid Services",,No,No,No,,,,1,,,,,,,,
54-2175436,Smile Seekers,,,4374 Larchwood Pl,Riverside,92506,"Riverside County, California",2005,12/1/2024,P20: Human Service Organizations,,Yes,No,No,,,,1,,,,,,,,
47-5568250,Brett Tashman Foundation,,https://thebretttashmanfoundation.org/,1723 Brentwood Ave,Upland,91784,"San Bernardino County, California",2016,12/1/2024,H30: Cancer Research,,No,No,No,,,,3,,,,,,,,
47-4866368,A Whitfield Legacy Foundation,,https://awhitfieldlegacy.org/,19201 Bear Valley Rd PMB 1092 Ste A,Apple Valley,92308,"San Bernardino County, California",2017,12/1/2024,P82: Developmentally Disabled Centers and Services,,No,No,No,,,,1,,,,,,,,
47-3577906,Blue Collar Athletics,,https://www.bluecollarathleticsinc.org/,602 Fairway Dr,Redlands,92373,"San Bernardino County, California",2015,12/1/2024,N12: Recreation and Sports Fund Raising and Fund Distribution,,No,No,No,,,,1,,,,,,,,
46-4017658,Another Better Chance,,,350 S State St,San Jacinto,92583,"Riverside County, California",2016,12/1/2024,"N60: Amateur Sports Clubs, Leagues",,No,No,No,,,,1,,,,,,,,
46-2012269,A Place for All Pieces,,http://www.aplaceforallpieces.org/,27890 Clinton Keith Rd D151,Murrieta,92562,"Riverside County, California",2013,12/1/2024,"B28: Special Education Institutions, Programs",,No,No,No,,,,1,,,,,,,,
46-1874428,Friends of the Colorado River Fair Foundation,,,591 N Olive Lake Blvd,Blythe,92225,"Riverside County, California",2014,12/1/2024,"K11: Food, Agriculture and Nutrition Single Organization Support","7113: Promoters of Performing Arts, Sports, and Similar Events",No,No,No,,,,0,,,,,,,,
46-1433958,Friends of the Ontario Comshow Band,,,9964 Meadowood Dr,RCH Cucamonga,91737,"San Bernardino County, California",2014,12/1/2024,"A00: Arts, Culture, and Humanities: General",,No,No,No,,,,1,,,,,,,,
46-0825431,Friends of the Palo Verde District Library,,,125 W Chanslor Way,Blythe,92225,"Riverside County, California",2013,12/1/2024,B11: Education Single Organization Support,,No,No,No,,,,2,,,,,,,,
45-4709630,The Eagle Links Junior Golf Foundation Incorporated,,,46105 Portola Ave Apt 3,Palm Desert,92260,"Riverside County, California",2013,12/1/2024,"O50: Youth Development Programs, Other",,No,No,No,,,,1,,,,,,,,
